"X1"	"X2"	"X4"	"X5"	"X6"	"X7"	"X8"	"X9"	"X10"	"X11"	"X12"	"X13"	"X14"	"X15"	"X16"	"X17"
"11000"	-0.9	0.1	0.000958048994606241	0.0014196729905776	0.00104506272201753	0.000948959118183228	0.000942197575349724	0.00137228452466221	0.000929316873846755	0.000257231004026477	-0.421246693248328	-0.405722603756456	0.393466105751165	0.242969817142009	1.45647214614499	0.276795796208575
"12000"	-0.9	0.2	0.00174327981529907	0.00146244152354872	0.000857175322620762	0.00131044754264867	0.00169514777061471	0.00143395143520147	0.00133343608184377	0.000313729746064512	-0.52976991637545	-0.469850254466888	0.534497169793559	0.260299153108175	0.845915300163758	0.23527917860953
"13000"	-0.9	0.3	0.00134831500184851	0.00159530068295292	0.00146666555483381	0.000954591317148428	0.0013511544904026	0.00180415785295971	0.00109491583893564	0.00028882462160697	-0.373377497362851	-0.30671726248654	0.499583490373397	0.38156697467084	1.33527132964798	0.263787052242969
"14000"	-0.9	0.4	0.00128180578656033	0.00218701373792491	0.00147638263401656	0.00128763187787784	0.00127875937833154	0.00222605854061595	0.001390512769283	0.000241186141023714	-0.331329740012027	-0.338244872752075	0.390533396872999	0.297063573389345	1.74079547594044	0.173451223427512
"15000"	-0.9	0.5	0.00178850653467418	0.00233457978595383	0.00194827883843832	0.0016905450685172	0.00183464210546736	0.0028267418004649	0.00163554307429168	0.000227291344649103	-0.307969834837883	-0.299621142394989	0.510870799291329	0.141288233673673	1.54075925328489	0.138969953296729
"16000"	-0.9	0.6	0.00190600678546788	0.0028323204179107	0.00204399556698396	0.00176562423356585	0.00189929395224519	0.00320437165178759	0.00204353573543584	0.000237651320432976	-0.283572222163068	-0.308580301460122	0.460347312403908	0.369905137065051	1.68713834317203	0.116294183807013
"17000"	-0.9	0.7	0.00308212759122148	0.00256668315169876	0.00285101003880987	0.00236063910693665	0.00321505289794603	0.00458162569093853	0.00253457746369498	0.000245316518999507	-0.156967775299406	-0.257779985882872	0.681345591410237	0.265847110953925	1.42505452829891	0.0967879350753311
"18000"	-0.9	0.8	0.00347198583322333	0.00360995102027087	0.00278668770403066	0.00221267056080201	0.00341505243433193	0.00325053567587385	0.00227422651262515	0.000310259341799356	-0.465145386699915	-0.49089136211355	0.458559421377607	0.221318623876971	0.951825993415452	0.136424116101444
"19000"	-0.9	0.9	0.00461683234853164	0.00488873691197911	0.00284910979692729	0.00464482821793297	0.00446347251336076	0.00559261994493749	0.0049279367786102	0.000277907377244003	-0.336765165727504	-0.436254565552066	0.517123486886293	0.23969700196814	1.25297510586136	0.0563942659431559
"20000"	-0.8	-0.9	2.34847809483796e-05	3.0198729544363e-05	2.07398790486407e-05	2.3067818387791e-05	0.000196814097558171	0.000238177918181602	0.000189378951161776	0.000198144756465992	-0.324696941095872	-0.348851388736721	0.934812381719613	0.940714484862384	1.21016696027684	1.04628711506976
