"V1"	"V2"	"V3"	"V4"	"V5"	"V6"
"30"	100	1	3000	0.00235613280232541	0.00223927966819429	0.00210859087860465
"31"	100	1	3100	0.00239093346068141	0.0022811922172918	0.0020434668371977
"32"	100	1	3200	0.00246417615495634	0.00250274665060206	0.00203940283713712
"33"	100	1	3300	0.00259363393249179	0.00249950925025565	0.00206655000117348
"34"	100	1	3400	0.00267162490400196	0.00256412540444172	0.00207505926079787
"35"	100	1	3500	0.00269293672805537	0.00254011520372473	0.00202476756813562
"36"	100	1	3600	0.0026295582071468	0.00266758272139433	0.00213366170274093
"37"	100	1	3700	0.00270865919230213	0.00270584748597192	0.00213079630784147
"38"	100	1	3800	0.00269815499726278	0.00275037189420632	0.00207400974500574
"39"	100	1	3900	0.0028148840706349	0.00280221912465418	0.00218664829358138
"40"	100	1	4000	0.00297028962122463	0.00284628558169732	0.00223537250867798
"41"	100	1	4100	0.00312062902747102	0.00298409408276988	0.00226135446941317
"42"	100	1	4200	0.00319384540343325	0.0031317989925471	0.00230226229154199
"43"	100	1	4300	0.00322810048319066	0.00321074957515088	0.00221773442532601
"44"	100	1	4400	0.00329356033914259	0.00328425927745785	0.00221300626557659
"45"	100	1	4500	0.00335934760502987	0.00330430350507325	0.00218726102653989
"46"	100	1	4600	0.00341715747913465	0.00347372798555403	0.00223500417564763
"47"	100	1	4700	0.00348879696345938	0.00372534104542161	0.00235659297672052
"48"	100	1	4800	0.00361767154106526	0.00369722224518863	0.00230939151428047
"49"	100	1	4900	0.00364983446550018	0.00379156759676956	0.00238796126902586
"50"	100	1	5000	0.00365188119306395	0.00405443457857237	0.0025583965766286
"51"	100	1	5100	0.00388981604679944	0.00429015772507467	0.00252560176352732
"52"	100	1	5200	0.00409445506671923	0.00439670385958912	0.00244023248869802
"53"	100	1	5300	0.00423516183097745	0.00446752966953151	0.00240400841625896
"54"	100	1	5400	0.00433811266611084	0.00451142338138107	0.00241506489007906
"55"	100	1	5500	0.00439913661745313	0.00455697774461182	0.00242761893242439
"56"	100	1	5600	0.00442552449146275	0.00452943793830504	0.00243285507535486
"57"	100	1	5700	0.00459225613225469	0.00461361391085675	0.00258819069732727
"58"	100	1	5800	0.00469394999978033	0.00473595794442728	0.00263212238469155
"59"	100	1	5900	0.00512754400947147	0.00472641718897905	0.00265962989684941
"60"	100	1	6000	0.00521132234998713	0.00473344855254185	0.00255812345394911
"61"	100	1	6100	0.00522922920943781	0.00479347574146818	0.00252495197205957
"62"	100	1	6200	0.00527235524236767	0.00496301181322454	0.00253841750812827
"63"	100	1	6300	0.00523393691706751	0.00511139135172016	0.00246413810356984
"64"	100	1	6400	0.00534764733351001	0.00526624017848038	0.00232963037768429
"65"	100	1	6500	0.0054009542691471	0.00536658391240769	0.00235436829760896
"66"	100	1	6600	0.00553029156835189	0.00549130974220878	0.00227606242562185
"67"	100	1	6700	0.00580914458635072	0.00562129230676747	0.00223389535334954
"68"	100	1	6800	0.00584375811418207	0.00567655445366994	0.00224171362402004
"69"	100	1	6900	0.0061394449460819	0.00580383639117889	0.00228061679417917
"70"	100	1	7000	0.00614757698494703	0.00580480368921101	0.00230307556651795
"71"	100	1	7100	0.00627089402632471	0.00596053484540625	0.0023307881095711
"72"	100	1	7200	0.00633529118116999	0.00611580590933516	0.00240960863420085
"73"	100	1	7300	0.00619942878281463	0.00616327769785526	0.00237747129277081
"74"	100	1	7400	0.0062018981375199	0.006281734536662	0.00244446751014947
"75"	100	1	7500	0.00619083114385963	0.00644101175467971	0.00245892313681591
"76"	100	1	7600	0.00627042330012916	0.0063729941129561	0.00249002708223277
"77"	100	1	7700	0.00645159845283452	0.00640190546876921	0.00246448844903561
"78"	100	1	7800	0.00657812619649295	0.00644755361746465	0.00246406102211573
"79"	100	1	7900	0.0066013718550222	0.00662201555850573	0.00260375434960647
"80"	100	1	8000	0.00664352193500552	0.00677482547106677	0.00260257072338123
"81"	100	1	8100	0.0066723852581128	0.00685777383954418	0.00263232166830156
"82"	100	1	8200	0.00699604916393486	0.00694631174176887	0.00264768226577905
"83"	100	1	8300	0.00700381732329445	0.00703242558716291	0.00257828390512037
"84"	100	1	8400	0.00703824315815483	0.00709301992150868	0.00262546370149195
"85"	100	1	8500	0.00714426598990637	0.00716914453873024	0.00246674323732478
"86"	100	1	8600	0.00716751934868276	0.00729698544916845	0.00249173947272739
"87"	100	1	8700	0.00718694305730726	0.00737560171162802	0.00250614704569884
"88"	100	1	8800	0.00723328852755208	0.00740350770640512	0.00238534725648475
"89"	100	1	8900	0.00711129189607973	0.00731544183239061	0.00231095963002867
"90"	100	1	9000	0.00726500899198848	0.00743249955762731	0.00236224983869053
"91"	100	1	9100	0.0072932505899993	0.00740975486773101	0.00229588091399504
"92"	100	1	9200	0.00733178480348621	0.00754034830348621	0.00235554863532892
"93"	100	1	9300	0.00759111435581443	0.00752334113293237	0.00244771624292443
"94"	100	1	9400	0.00768256464236127	0.00742055258032248	0.00246539385914854
"95"	100	1	9500	0.00797615432947011	0.0074629347556336	0.00256133622363566
"96"	100	1	9600	0.00798464959956878	0.00744826563694886	0.00248036938272699
"97"	100	1	9700	0.00812245012378503	0.00758622573458719	0.00251236574510237
"98"	100	1	9800	0.00818302139001112	0.00759483906556821	0.0025652805685817
"99"	100	1	9900	0.0081373983055155	0.00752007624981244	0.00242763943173538
"100"	100	1	10000	0.00820020394624128	0.00757295215401924	0.00252343747739102
"101"	100	1	10100	0.00834376560789357	0.00754966742180184	0.00253439786888388
"102"	100	1	10200	0.00837518239447491	0.0075010786602891	0.00252928676655746
"103"	100	1	10300	0.00846876421046146	0.00768348857347285	0.00259836586697157
"104"	100	1	10400	0.0085734779348968	0.00791674757152303	0.00254149498577975
"105"	100	1	10500	0.00849469772061008	0.00817125491702955	0.00264150886624293
"106"	100	1	10600	0.00855870481612247	0.0081524009700277	0.00259930329040352
"107"	100	1	10700	0.00859796610956641	0.00811422128219498	0.00268502848046199
"108"	100	1	10800	0.00881621137976225	0.00818763344430292	0.00268460371003321
"109"	100	1	10900	0.00885924917745239	0.00836416100672968	0.00267094975081282
"110"	100	1	11000	0.00893696123335093	0.00846958226754322	0.00270080484176494
"111"	100	1	11100	0.00899400967375557	0.00856914164144414	0.00256907775230405
"112"	100	1	11200	0.00917241144049582	0.00874229851658796	0.00257829093636835
"113"	100	1	11300	0.00921397267102065	0.00873152890248191	0.00254601730502651
"114"	100	1	11400	0.0093406090917897	0.00852966328936787	0.00251701827302043
"115"	100	1	11500	0.00942351723932871	0.00858761176796243	0.00244734250209161
"116"	100	1	11600	0.0094737254723451	0.00854354010105217	0.00245752810022325
"117"	100	1	11700	0.00958314168262302	0.00859004706858669	0.0024705341822855
"118"	100	1	11800	0.009712796120971	0.00865149249902004	0.00254634651648501
"119"	100	1	11900	0.00968320024559613	0.00866413319446392	0.00250768436308617
"120"	100	1	12000	0.00957430619409774	0.00875531256060071	0.00247674370914807
"121"	100	1	12100	0.00978647767668821	0.00906066752337937	0.00245579278330652
"122"	100	1	12200	0.00975231352980976	0.00919865507826828	0.00238282014479478
"123"	100	1	12300	0.00960747880073036	0.00913194748575669	0.0023136791232594
"124"	100	1	12400	0.00962648952261715	0.0092136667505113	0.00229914338876669
"125"	100	1	12500	0.00979477257360369	0.00945249954705111	0.00230277326643035
"126"	100	1	12600	0.00979484833582287	0.00961590693353389	0.00238158263743923
"127"	100	1	12700	0.00985914218574886	0.0097412812087786	0.00247820415864896
"128"	100	1	12800	0.0102242181591354	0.00977463525633339	0.00245514369054507
"129"	100	1	12900	0.0103432931381836	0.0100740013396278	0.00244761608878224
"130"	100	1	13000	0.010419227995166	0.00999491496603703	0.00246758558670979
