"V1"	"V2"	"V3"	"V4"
"91"	9100	0.0377226817386908	0.0378571270129705	0.000250014397185241
"92"	9200	0.0377294475317673	0.0378259129381051	0.000254718606053188
"93"	9300	0.0377720481551203	0.0377600432045972	0.000247977785985147
"94"	9400	0.037738083365763	0.0377251644247689	0.000252162894909207
"95"	9500	0.0377398822497157	0.0376981595125701	0.000253571956634315
"96"	9600	0.0378261994080592	0.0376654727313013	0.000250314965853258
"97"	9700	0.0378629307829908	0.0376973124455149	0.000258524371075019
"98"	9800	0.0378550961819657	0.0377101151055845	0.000257131339099116
"99"	9900	0.037867914462861	0.0377434219863042	0.000261166674779016
"100"	10000	0.0379087281228721	0.0376967321078777	0.000261664704855571
"101"	10100	0.0378838050161227	0.0377368301821033	0.000262174304283159
"102"	10200	0.0379536522508084	0.0376817195566504	0.000262493428015978
"103"	10300	0.0379399601335581	0.0377060070556341	0.000267724967864848
"104"	10400	0.0379487234298604	0.0376412773539062	0.000265295344431168
"105"	10500	0.0379115957801987	0.0377328684095008	0.000266308806953569
"106"	10600	0.0378379010326366	0.0377827787796943	0.000256592633671487
"107"	10700	0.0379149235365179	0.0377629907981164	0.000261914468663877
"108"	10800	0.0378970847221618	0.0377879005433933	0.000262837394997031
"109"	10900	0.0378685136742768	0.0377954319740333	0.000265870934846055
"110"	11000	0.0378978875544108	0.0378137537291488	0.000265910763510714
"111"	11100	0.0378436847429022	0.0378161471709147	0.000261545519897436
"112"	11200	0.0378669892018207	0.0377500563165254	0.000264005667879469
"113"	11300	0.0379008247732052	0.0377702919863378	0.000263382811265435
"114"	11400	0.0379051260964055	0.0376720716814466	0.000264580389226633
"115"	11500	0.0379149045886973	0.0377094440535433	0.000267234855880835
"116"	11600	0.0378672355512828	0.0377361130563463	0.000278796587518987
"117"	11700	0.0378924756142498	0.0377796470745763	0.000270759523239369
"118"	11800	0.0378897938804703	0.0377477649622974	0.000268371234125976
"119"	11900	0.0380220712395439	0.037818171358824	0.000263718137100241
"120"	12000	0.0380335637749026	0.0377372902271531	0.000267633064056013
"121"	12100	0.0381291836218423	0.0376641069975154	0.000269009101083835
"122"	12200	0.0381461069737339	0.0376578772471945	0.000272760392296883
"123"	12300	0.0381056332889963	0.0378052107689842	0.00027599730908328
"124"	12400	0.0380442996369094	0.0379512948966824	0.000277767877001371
"125"	12500	0.0380551555768509	0.0380061143028554	0.000273325293389074
"126"	12600	0.0380370831359371	0.0379893929383836	0.00027285695768978
"127"	12700	0.0379498675784539	0.0380475135377428	0.000269968599711291
"128"	12800	0.0379466744458855	0.0380634905234175	0.000277643146766743
"129"	12900	0.0380335827055815	0.0380422190142412	0.000286383108361397
"130"	13000	0.0381366757678995	0.038004805521828	0.000283872458195393
"131"	13100	0.0380686350240508	0.038009799800294	0.000283445010208465
"132"	13200	0.0380761251470856	0.0380648342021687	0.000285304805542442
"133"	13300	0.0380663473140113	0.0381260205836131	0.000281908063409764
"134"	13400	0.0379958088030523	0.0381199162654607	0.000283138207482607
"135"	13500	0.0379868171638275	0.0380777665658144	0.00027689800998351
"136"	13600	0.038006497135441	0.0380509275638563	0.000275812209062945
"137"	13700	0.0381264475041606	0.0381461323348842	0.000268331440665696
"138"	13800	0.0381980506490492	0.0381602945692334	0.000269166526833624
"139"	13900	0.0382495863164286	0.0381614552102551	0.000268709281554959
"140"	14000	0.0382385828063072	0.0382019752262513	0.000264745898165464
"141"	14100	0.0381905222950895	0.0381699424251685	0.000273062193005366
"142"	14200	0.038111850708576	0.0381258632724513	0.000269482245658418
"143"	14300	0.0381297749712814	0.0381327613859058	0.000268212343509352
"144"	14400	0.0381191824563418	0.0381912026389222	0.000271259366948356
"145"	14500	0.0381278548450037	0.0381572185252097	0.000270885364752591
"146"	14600	0.0381304880856734	0.038140563373192	0.0002711086139629
"147"	14700	0.0381229352799697	0.0381974800676532	0.000266380357206695
"148"	14800	0.0381542990351538	0.0382254511988303	0.000262372605207936
"149"	14900	0.0381485564956775	0.0382649332338989	0.000266905226523366
"150"	15000	0.0382429445721475	0.0382560655944448	0.000264219557306608
"151"	15100	0.0382998907614773	0.0382999207160441	0.000271772518651323
"152"	15200	0.0383063115712194	0.0383758487038178	0.000265952539473024
"153"	15300	0.0382837876945807	0.038439958504431	0.000266814729659232
"154"	15400	0.0382909527147622	0.0385135900874886	0.000267216020115528
"155"	15500	0.0383328296002993	0.0384907033147691	0.000263613977893155
"156"	15600	0.0383293505124032	0.0385379955120173	0.000254814785459705
"157"	15700	0.0382972049576601	0.0385205305972907	0.000253168954275717
"158"	15800	0.038279963326068	0.0385246069019595	0.000248708391480027
"159"	15900	0.0382867683635427	0.0385960352927578	0.000243762039042124
"160"	16000	0.0383753859583279	0.0386635636119105	0.00024748976361405
"161"	16100	0.0383643075942561	0.038568281829045	0.000239203618820311
"162"	16200	0.0384526424007888	0.0386865069079356	0.000247874892521749
"163"	16300	0.0384154776140022	0.0387027446503306	0.000248487227254512
"164"	16400	0.0384471017745992	0.0387157939630895	0.000242554006104373
"165"	16500	0.0384206478374752	0.0386684049804258	0.000240108289918429
"166"	16600	0.0383971731208155	0.0386793863782081	0.000246496083328566
"167"	16700	0.0384173209200102	0.0385450924153602	0.000248909570694362
"168"	16800	0.038404906252827	0.0385139378674572	0.000248227707504865
"169"	16900	0.0383151740316466	0.038501673042214	0.000249630295914078
"170"	17000	0.0383645496873911	0.0385669828879455	0.000246200795687531
"171"	17100	0.0383919105069498	0.0385364150839973	0.00025048446550362
"172"	17200	0.0384727333057526	0.0385670483094381	0.000249492179902069
"173"	17300	0.0384219484128586	0.0385363067013906	0.000250444403635668
"174"	17400	0.0384407547863417	0.038520311267006	0.000246949191427022
"175"	17500	0.0384285349406508	0.0385678825736187	0.000241018175899546
"176"	17600	0.0383840488393152	0.03858009582094	0.000241774292242995
"177"	17700	0.0383893193363759	0.0386135680487939	0.000241272932702692
"178"	17800	0.0383899987365255	0.0387063837331757	0.000248276379738767
"179"	17900	0.0385029531343201	0.0388107323788008	0.000247782547040674
"180"	18000	0.0385428396514245	0.0386638395353246	0.000249831927874632
"181"	18100	0.0385011767239417	0.0386599959515517	0.000250110067194948
"182"	18200	0.0384950314576908	0.0386643792936615	0.000248455109057493
"183"	18300	0.0385402881794833	0.0386159806098878	0.000256597280707174
"184"	18400	0.0385795058662709	0.0386418453299122	0.000260212578522712
"185"	18500	0.038562422651627	0.0387021285006891	0.000252881090879854
"186"	18600	0.0386222034607086	0.0386943702272622	0.000259979027128786
"187"	18700	0.038641981863099	0.0386122795090256	0.000261494087989999
"188"	18800	0.0386725257708421	0.0386656574589085	0.000262695286154956
"189"	18900	0.0386800662248225	0.0387105083156576	0.000261289929056378
"190"	19000	0.0386698411571635	0.038756652705518	0.000261156380602466
"191"	19100	0.0387283148150556	0.0388373379283389	0.000257466972498701
"192"	19200	0.0387353674381793	0.0388039051069024	0.000265200261429376
